Policy Scope,Policy Duration,Enforcement Intensity,Best Advocacy Method
National,Temporary,Symbolic Only,Social Media Campaign
State,Long-Term,Minimal,Op-ed
National,Short-Term,Not Enforced,Social Media Campaign
City,Temporary,Symbolic Only,Town Hall
International,Trial,Moderate Enforcement,Protest
County,Short-Term,Symbolic Only,Social Media Campaign
Region,Temporary,Symbolic Only,Meme Campaign
National,Short-Term,Not Enforced,Public Poll
State,Medium-Term,Surveillance-Based,Petition
City,Trial,Symbolic Only,Public Comment
International,Permanent,Light Enforcement,Join Advocacy Group
Cross-Border,Short-Term,Moderate Enforcement,Direct Email to Representative
Global,Trial,Moderate Enforcement,Op-ed
State,Short-Term,Moderate Enforcement,Op-ed
City,Short-Term,Moderate Enforcement,Social Media Campaign
Province,Long-Term,Minimal,Podcast
Province,Medium-Term,Community-Enforced,Media Outreach
City,Temporary,Surveillance-Based,Petition
National,Medium-Term,Not Enforced,Op-ed
National,Long-Term,Not Enforced,Public Poll
Province,Long-Term,Symbolic Only,Meme Campaign
Global,Long-Term,Moderate Enforcement,Media Outreach
Region,Permanent,Strict Enforcement,Public Comment
Neighborhood,Trial,Surveillance-Based,Public Comment
Cross-Border,Temporary,Moderate Enforcement,GoFundMe Awareness
National,Long-Term,Strict Enforcement,Influencer Collaboration
Continental,Permanent,Moderate Enforcement,Influencer Collaboration
City,Temporary,Minimal,Petition
National,Permanent,Minimal,Podcast
State,Temporary,Surveillance-Based,Direct Email to Representative
County,Permanent,Punitive,Social Media Campaign
National,Medium-Term,Strict Enforcement,Documentary
Continental,Permanent,Symbolic Only,Meme Campaign
Cross-Border,Temporary,Community-Enforced,Direct Email to Representative
National,Permanent,Strict Enforcement,Media Outreach
National,Short-Term,Punitive,Influencer Collaboration
Global,Short-Term,Punitive,Join Advocacy Group
City,Long-Term,Moderate Enforcement,Media Outreach
County,Permanent,Punitive,Citizen Report
Region,Long-Term,Community-Enforced,Petition
Province,Temporary,Moderate Enforcement,Citizen Report
Continental,Permanent,Surveillance-Based,Viral Video
Cross-Border,Trial,Punitive,Public Art
Province,Short-Term,Moderate Enforcement,Academic Paper
International,Medium-Term,Community-Enforced,Direct Email to Representative
Province,Medium-Term,Moderate Enforcement,Media Outreach
City,Temporary,Community-Enforced,Petition
Cross-Border,Short-Term,Moderate Enforcement,Newsletter
City,Permanent,Punitive,Town Hall
County,Permanent,Surveillance-Based,Viral Video
National,Short-Term,Symbolic Only,Podcast
County,Medium-Term,Surveillance-Based,Op-ed
Continental,Short-Term,Community-Enforced,Viral Video
Region,Short-Term,Punitive,Influencer Collaboration
Cross-Border,Medium-Term,Symbolic Only,Meme Campaign
Global,Medium-Term,Punitive,Viral Video
City,Trial,Not Enforced,Public Comment
County,Trial,Minimal,Social Media Campaign
County,Temporary,Light Enforcement,Documentary
Cross-Border,Short-Term,Surveillance-Based,Join Advocacy Group
Region,Temporary,Punitive,Public Art
State,Temporary,Symbolic Only,Social Media Campaign
City,Long-Term,Community-Enforced,Podcast
City,Medium-Term,Symbolic Only,Op-ed
State,Trial,Not Enforced,Meme Campaign
Global,Temporary,Light Enforcement,Media Outreach
Neighborhood,Trial,Moderate Enforcement,Public Comment
International,Short-Term,Not Enforced,Public Comment
Neighborhood,Temporary,Light Enforcement,Petition
County,Trial,Moderate Enforcement,Direct Email to Representative
Continental,Trial,Not Enforced,Influencer Collaboration
Region,Short-Term,Light Enforcement,Protest
Cross-Border,Short-Term,Strict Enforcement,Citizen Report
International,Medium-Term,Symbolic Only,Meme Campaign
County,Short-Term,Punitive,Petition
Continental,Medium-Term,Not Enforced,GoFundMe Awareness
Neighborhood,Medium-Term,Minimal,Podcast
Neighborhood,Temporary,Light Enforcement,Town Hall
Cross-Border,Temporary,Community-Enforced,Academic Paper
State,Temporary,Punitive,Influencer Collaboration
National,Long-Term,Minimal,Meme Campaign
Neighborhood,Medium-Term,Symbolic Only,Meme Campaign
City,Permanent,Moderate Enforcement,Citizen Report
Region,Trial,Surveillance-Based,Meme Campaign
Global,Long-Term,Symbolic Only,Podcast
Province,Trial,Surveillance-Based,Lawsuit
International,Medium-Term,Symbolic Only,Podcast
City,Trial,Minimal,Public Comment
Region,Temporary,Minimal,Podcast
Neighborhood,Medium-Term,Moderate Enforcement,Town Hall
Neighborhood,Short-Term,Surveillance-Based,Influencer Collaboration
Cross-Border,Short-Term,Community-Enforced,Social Media Campaign
Province,Long-Term,Punitive,Direct Email to Representative
Cross-Border,Temporary,Minimal,Meme Campaign
County,Trial,Moderate Enforcement,Join Advocacy Group
Neighborhood,Temporary,Strict Enforcement,Public Comment
Region,Permanent,Punitive,Documentary
Neighborhood,Permanent,Moderate Enforcement,Influencer Collaboration
International,Permanent,Community-Enforced,Lawsuit
Global,Medium-Term,Minimal,Podcast
Region,Long-Term,Punitive,Direct Email to Representative
City,Trial,Punitive,Petition
City,Long-Term,Light Enforcement,Viral Video
Continental,Temporary,Community-Enforced,Newsletter
County,Temporary,Not Enforced,Petition
City,Temporary,Strict Enforcement,Town Hall
State,Long-Term,Community-Enforced,Petition
Province,Permanent,Surveillance-Based,Public Art
Neighborhood,Temporary,Community-Enforced,Town Hall
Cross-Border,Temporary,Community-Enforced,GoFundMe Awareness
Province,Short-Term,Punitive,Academic Paper
County,Short-Term,Light Enforcement,Petition
County,Medium-Term,Punitive,GoFundMe Awareness
Province,Trial,Strict Enforcement,Influencer Collaboration
Province,Short-Term,Strict Enforcement,Academic Paper
City,Short-Term,Strict Enforcement,Viral Video
State,Trial,Community-Enforced,Viral Video
State,Permanent,Minimal,Podcast
Global,Medium-Term,Surveillance-Based,Viral Video
International,Temporary,Surveillance-Based,Petition
International,Short-Term,Minimal,Op-ed
City,Temporary,Strict Enforcement,Town Hall
County,Permanent,Community-Enforced,Town Hall
International,Long-Term,Community-Enforced,Social Media Campaign
Global,Short-Term,Surveillance-Based,Newsletter
Province,Trial,Not Enforced,Town Hall
Province,Short-Term,Symbolic Only,Meme Campaign
Cross-Border,Medium-Term,Surveillance-Based,Direct Email to Representative
City,Temporary,Light Enforcement,Public Comment
City,Trial,Strict Enforcement,Petition
Continental,Medium-Term,Punitive,Podcast
Cross-Border,Permanent,Community-Enforced,GoFundMe Awareness
State,Short-Term,Punitive,Direct Email to Representative
County,Medium-Term,Punitive,Academic Paper
County,Trial,Strict Enforcement,Meme Campaign
County,Trial,Symbolic Only,Podcast
Region,Medium-Term,Moderate Enforcement,Direct Email to Representative
City,Trial,Surveillance-Based,Public Comment
State,Short-Term,Symbolic Only,Op-ed
International,Medium-Term,Punitive,Media Outreach
Province,Medium-Term,Minimal,Op-ed
City,Permanent,Surveillance-Based,GoFundMe Awareness
Region,Temporary,Light Enforcement,Op-ed
City,Permanent,Community-Enforced,Citizen Report
National,Medium-Term,Minimal,Op-ed
Region,Short-Term,Minimal,Op-ed
Continental,Trial,Surveillance-Based,Newsletter
International,Short-Term,Punitive,Media Outreach
International,Permanent,Community-Enforced,Viral Video
Neighborhood,Permanent,Punitive,Social Media Campaign
Neighborhood,Permanent,Light Enforcement,Podcast
Continental,Long-Term,Strict Enforcement,Documentary
City,Medium-Term,Strict Enforcement,Protest
Cross-Border,Long-Term,Not Enforced,GoFundMe Awareness
Province,Short-Term,Surveillance-Based,Documentary
National,Medium-Term,Symbolic Only,Podcast
State,Long-Term,Community-Enforced,Join Advocacy Group
Continental,Medium-Term,Light Enforcement,Viral Video
International,Short-Term,Moderate Enforcement,Town Hall
International,Short-Term,Community-Enforced,Viral Video
Cross-Border,Medium-Term,Symbolic Only,Meme Campaign
Cross-Border,Permanent,Symbolic Only,Meme Campaign
State,Long-Term,Minimal,Op-ed
State,Short-Term,Not Enforced,Op-ed
Cross-Border,Temporary,Minimal,Podcast
Province,Short-Term,Symbolic Only,Social Media Campaign
Neighborhood,Medium-Term,Community-Enforced,Influencer Collaboration
Neighborhood,Short-Term,Light Enforcement,Podcast
Region,Long-Term,Strict Enforcement,Media Outreach
Cross-Border,Trial,Symbolic Only,Op-ed
Cross-Border,Permanent,Not Enforced,Petition
Global,Trial,Community-Enforced,Lawsuit
Global,Trial,Moderate Enforcement,Protest
Global,Temporary,Light Enforcement,Petition
Cross-Border,Trial,Community-Enforced,Influencer Collaboration
City,Long-Term,Not Enforced,Viral Video
Global,Long-Term,Surveillance-Based,Op-ed
City,Temporary,Symbolic Only,Town Hall
City,Short-Term,Symbolic Only,Social Media Campaign
City,Medium-Term,Not Enforced,Newsletter
State,Short-Term,Minimal,Podcast
National,Permanent,Punitive,Influencer Collaboration
State,Short-Term,Punitive,Town Hall
State,Permanent,Moderate Enforcement,Newsletter
City,Trial,Minimal,Town Hall
Global,Permanent,Minimal,Op-ed
City,Long-Term,Moderate Enforcement,Social Media Campaign
County,Trial,Symbolic Only,Podcast
Cross-Border,Permanent,Not Enforced,Meme Campaign
County,Permanent,Moderate Enforcement,Media Outreach
Global,Short-Term,Moderate Enforcement,Newsletter
Region,Long-Term,Minimal,Meme Campaign
State,Trial,Punitive,Documentary
Cross-Border,Long-Term,Symbolic Only,Social Media Campaign
National,Temporary,Symbolic Only,Podcast
Region,Temporary,Not Enforced,Podcast
National,Medium-Term,Not Enforced,Documentary
Continental,Permanent,Minimal,Op-ed
Global,Trial,Moderate Enforcement,Petition
Neighborhood,Long-Term,Surveillance-Based,Join Advocacy Group
Continental,Temporary,Punitive,Documentary
Neighborhood,Long-Term,Light Enforcement,Petition
County,Long-Term,Community-Enforced,Documentary
City,Permanent,Punitive,Documentary
Cross-Border,Temporary,Surveillance-Based,Viral Video
Global,Trial,Community-Enforced,GoFundMe Awareness
County,Permanent,Light Enforcement,Influencer Collaboration
County,Permanent,Minimal,Op-ed
National,Permanent,Symbolic Only,Meme Campaign
State,Trial,Not Enforced,Newsletter
Cross-Border,Medium-Term,Surveillance-Based,GoFundMe Awareness
City,Permanent,Symbolic Only,Meme Campaign
Continental,Medium-Term,Community-Enforced,Op-ed
State,Permanent,Minimal,Op-ed
Region,Short-Term,Surveillance-Based,Petition
State,Trial,Moderate Enforcement,Newsletter
City,Medium-Term,Not Enforced,Viral Video
National,Medium-Term,Community-Enforced,Documentary
Continental,Short-Term,Moderate Enforcement,Town Hall
Neighborhood,Long-Term,Minimal,Podcast
City,Trial,Punitive,Public Comment
Province,Temporary,Surveillance-Based,Protest
County,Permanent,Community-Enforced,Op-ed
City,Short-Term,Punitive,Media Outreach
Global,Trial,Surveillance-Based,Newsletter
Neighborhood,Medium-Term,Symbolic Only,Podcast
State,Permanent,Punitive,Town Hall
National,Long-Term,Surveillance-Based,Direct Email to Representative
Neighborhood,Medium-Term,Community-Enforced,Lawsuit
Global,Temporary,Punitive,Citizen Report
Cross-Border,Medium-Term,Punitive,Town Hall
State,Temporary,Surveillance-Based,Public Poll
International,Long-Term,Moderate Enforcement,Join Advocacy Group
Continental,Temporary,Light Enforcement,Protest
International,Temporary,Punitive,Lobby Group
State,Long-Term,Surveillance-Based,Media Outreach
County,Medium-Term,Moderate Enforcement,GoFundMe Awareness
Cross-Border,Long-Term,Light Enforcement,Town Hall
Continental,Medium-Term,Not Enforced,Citizen Report
County,Permanent,Community-Enforced,Media Outreach
Neighborhood,Long-Term,Strict Enforcement,Public Poll
Province,Temporary,Strict Enforcement,Newsletter
Region,Temporary,Surveillance-Based,Documentary
National,Long-Term,Moderate Enforcement,Documentary
Continental,Short-Term,Community-Enforced,Public Comment
Cross-Border,Trial,Community-Enforced,Viral Video
International,Trial,Punitive,Documentary
State,Long-Term,Moderate Enforcement,Academic Paper
Neighborhood,Long-Term,Light Enforcement,Public Art
Region,Medium-Term,Not Enforced,Documentary
Cross-Border,Long-Term,Community-Enforced,Direct Email to Representative
Neighborhood,Short-Term,Not Enforced,Influencer Collaboration
State,Permanent,Moderate Enforcement,Influencer Collaboration
State,Temporary,Moderate Enforcement,Newsletter
Province,Permanent,Surveillance-Based,Op-ed
Region,Temporary,Community-Enforced,Podcast
County,Permanent,Surveillance-Based,Media Outreach
Cross-Border,Long-Term,Punitive,Petition
State,Long-Term,Community-Enforced,Public Comment
National,Permanent,Minimal,Social Media Campaign
Cross-Border,Trial,Minimal,Social Media Campaign
Neighborhood,Short-Term,Not Enforced,Public Comment
Province,Short-Term,Surveillance-Based,Viral Video
Cross-Border,Permanent,Punitive,Petition
Continental,Permanent,Minimal,Podcast
International,Permanent,Surveillance-Based,Media Outreach
Province,Permanent,Minimal,Podcast
Continental,Short-Term,Surveillance-Based,Join Advocacy Group
Continental,Trial,Punitive,Podcast
County,Medium-Term,Moderate Enforcement,Documentary
International,Temporary,Punitive,Media Outreach
Neighborhood,Long-Term,Minimal,Social Media Campaign
International,Long-Term,Strict Enforcement,Influencer Collaboration
State,Temporary,Strict Enforcement,Op-ed
Neighborhood,Trial,Moderate Enforcement,Petition
Cross-Border,Temporary,Strict Enforcement,Op-ed
Region,Short-Term,Community-Enforced,Citizen Report
International,Medium-Term,Symbolic Only,Meme Campaign
Region,Trial,Moderate Enforcement,Petition
Continental,Short-Term,Moderate Enforcement,Meme Campaign
State,Temporary,Punitive,Newsletter
International,Short-Term,Moderate Enforcement,Academic Paper
Cross-Border,Trial,Not Enforced,Lawsuit
Global,Medium-Term,Light Enforcement,Viral Video
International,Medium-Term,Symbolic Only,Meme Campaign
State,Trial,Symbolic Only,Op-ed
Continental,Temporary,Strict Enforcement,Op-ed
County,Trial,Strict Enforcement,GoFundMe Awareness
National,Temporary,Punitive,Documentary
Province,Medium-Term,Symbolic Only,Meme Campaign
International,Medium-Term,Surveillance-Based,Social Media Campaign
Cross-Border,Long-Term,Moderate Enforcement,Protest
Cross-Border,Temporary,Symbolic Only,Social Media Campaign
Neighborhood,Temporary,Not Enforced,Town Hall
City,Temporary,Surveillance-Based,Petition
City,Permanent,Not Enforced,Public Comment
State,Permanent,Surveillance-Based,Academic Paper
City,Temporary,Moderate Enforcement,Public Comment
State,Temporary,Symbolic Only,Meme Campaign
Region,Short-Term,Symbolic Only,Podcast
Neighborhood,Temporary,Minimal,Petition
Continental,Temporary,Moderate Enforcement,Direct Email to Representative
Continental,Temporary,Not Enforced,Newsletter
Global,Permanent,Community-Enforced,GoFundMe Awareness
Continental,Temporary,Strict Enforcement,Town Hall
City,Medium-Term,Strict Enforcement,Media Outreach
Neighborhood,Trial,Light Enforcement,Town Hall
International,Trial,Not Enforced,Public Poll
Cross-Border,Short-Term,Punitive,Podcast
City,Long-Term,Moderate Enforcement,Citizen Report
National,Trial,Strict Enforcement,Documentary
Global,Short-Term,Moderate Enforcement,Influencer Collaboration
Province,Permanent,Light Enforcement,Public Poll
Region,Medium-Term,Surveillance-Based,Join Advocacy Group
National,Trial,Punitive,Documentary
State,Temporary,Strict Enforcement,Social Media Campaign
Province,Medium-Term,Surveillance-Based,Newsletter
City,Permanent,Symbolic Only,Meme Campaign
National,Trial,Symbolic Only,Podcast
County,Long-Term,Strict Enforcement,Public Art
Region,Permanent,Symbolic Only,Podcast
City,Long-Term,Strict Enforcement,Public Poll
Continental,Permanent,Moderate Enforcement,GoFundMe Awareness
Cross-Border,Trial,Minimal,Podcast
City,Long-Term,Surveillance-Based,Public Comment
State,Permanent,Surveillance-Based,Lawsuit
Cross-Border,Permanent,Community-Enforced,Join Advocacy Group
Continental,Short-Term,Moderate Enforcement,Meme Campaign
Province,Trial,Moderate Enforcement,Public Art
Continental,Medium-Term,Not Enforced,Public Poll
Neighborhood,Medium-Term,Punitive,Viral Video
Region,Temporary,Symbolic Only,Op-ed
City,Temporary,Moderate Enforcement,Public Comment
Province,Long-Term,Not Enforced,Join Advocacy Group
County,Temporary,Moderate Enforcement,Meme Campaign
Global,Permanent,Symbolic Only,Podcast
